"","sitename","date","pm25count","pm25","latitude","longitude"
"178","43. Rajshahi, Thakurmara2",2022-04-29 00:00:00,4,39,24.3955383,88.5699585
"179","43. Rajshahi, Thakurmara2",2022-04-29 01:00:00,4,38,24.3955383,88.5699585
"180","43. Rajshahi, Thakurmara2",2022-04-29 02:00:00,4,37,24.3955383,88.5699585
"181","43. Rajshahi, Thakurmara2",2022-04-29 03:00:00,4,34.75,24.3955383,88.5699585
"182","43. Rajshahi, Thakurmara2",2022-04-29 04:00:00,4,33.75,24.3955383,88.5699585
"183","43. Rajshahi, Thakurmara2",2022-04-29 05:00:00,4,32,24.3955383,88.5699585
"184","43. Rajshahi, Thakurmara2",2022-04-29 06:00:00,4,31,24.3955383,88.5699585
"185","43. Rajshahi, Thakurmara2",2022-04-29 07:00:00,4,31.75,24.3955383,88.5699585
"186","43. Rajshahi, Thakurmara2",2022-04-29 08:00:00,4,30.5,24.3955383,88.5699585
"187","43. Rajshahi, Thakurmara2",2022-04-29 09:00:00,4,31.25,24.3955383,88.5699585
"188","43. Rajshahi, Thakurmara2",2022-04-29 10:00:00,4,32,24.3955383,88.5699585
"189","43. Rajshahi, Thakurmara2",2022-04-29 11:00:00,3,NA,24.3955383,88.5699585
"190","43. Rajshahi, Thakurmara2",2022-04-29 12:00:00,4,36,24.3955383,88.5699585
"191","43. Rajshahi, Thakurmara2",2022-04-29 13:00:00,4,36.25,24.3955383,88.5699585
"192","43. Rajshahi, Thakurmara2",2022-04-29 14:00:00,4,37,24.3955383,88.5699585
"193","43. Rajshahi, Thakurmara2",2022-04-29 15:00:00,4,37.25,24.3955383,88.5699585
"194","43. Rajshahi, Thakurmara2",2022-04-29 16:00:00,4,37.5,24.3955383,88.5699585
"195","43. Rajshahi, Thakurmara2",2022-04-29 17:00:00,4,37.25,24.3955383,88.5699585
"196","43. Rajshahi, Thakurmara2",2022-04-29 18:00:00,4,36.5,24.3955383,88.5699585
"197","43. Rajshahi, Thakurmara2",2022-04-29 19:00:00,4,35.5,24.3955383,88.5699585
"198","43. Rajshahi, Thakurmara2",2022-04-29 20:00:00,4,35.25,24.3955383,88.5699585
"199","43. Rajshahi, Thakurmara2",2022-04-29 21:00:00,4,36,24.3955383,88.5699585
"200","43. Rajshahi, Thakurmara2",2022-04-29 22:00:00,4,34,24.3955383,88.5699585
"201","43. Rajshahi, Thakurmara2",2022-04-29 23:00:00,4,31.25,24.3955383,88.5699585
"202","43. Rajshahi, Thakurmara2",2022-04-30 00:00:00,4,30.25,24.3955383,88.5699585
"203","43. Rajshahi, Thakurmara2",2022-04-30 01:00:00,4,27.25,24.3955383,88.5699585
"204","43. Rajshahi, Thakurmara2",2022-04-30 02:00:00,4,24.25,24.3955383,88.5699585
"205","43. Rajshahi, Thakurmara2",2022-04-30 03:00:00,4,23.5,24.3955383,88.5699585
"206","43. Rajshahi, Thakurmara2",2022-04-30 04:00:00,4,25.5,24.3955383,88.5699585
"207","43. Rajshahi, Thakurmara2",2022-04-30 05:00:00,4,25.25,24.3955383,88.5699585
"208","43. Rajshahi, Thakurmara2",2022-04-30 06:00:00,4,23.75,24.3955383,88.5699585
"209","43. Rajshahi, Thakurmara2",2022-04-30 07:00:00,4,22.75,24.3955383,88.5699585
"210","43. Rajshahi, Thakurmara2",2022-04-30 08:00:00,4,22,24.3955383,88.5699585
"211","43. Rajshahi, Thakurmara2",2022-04-30 09:00:00,4,23.25,24.3955383,88.5699585
"212","43. Rajshahi, Thakurmara2",2022-04-30 10:00:00,4,26,24.3955383,88.5699585
"213","43. Rajshahi, Thakurmara2",2022-04-30 11:00:00,4,25.5,24.3955383,88.5699585
"214","43. Rajshahi, Thakurmara2",2022-04-30 12:00:00,4,22.5,24.3955383,88.5699585
"215","43. Rajshahi, Thakurmara2",2022-04-30 13:00:00,4,24.5,24.3955383,88.5699585
"216","43. Rajshahi, Thakurmara2",2022-04-30 14:00:00,4,27.75,24.3955383,88.5699585
"217","43. Rajshahi, Thakurmara2",2022-04-30 15:00:00,4,29,24.3955383,88.5699585
"218","43. Rajshahi, Thakurmara2",2022-04-30 16:00:00,4,29.75,24.3955383,88.5699585
"219","43. Rajshahi, Thakurmara2",2022-04-30 17:00:00,4,31,24.3955383,88.5699585
"220","43. Rajshahi, Thakurmara2",2022-04-30 18:00:00,4,31.5,24.3955383,88.5699585
"221","43. Rajshahi, Thakurmara2",2022-04-30 19:00:00,4,31.5,24.3955383,88.5699585
"222","43. Rajshahi, Thakurmara2",2022-04-30 20:00:00,4,29,24.3955383,88.5699585
"223","43. Rajshahi, Thakurmara2",2022-04-30 21:00:00,4,29.25,24.3955383,88.5699585
"224","43. Rajshahi, Thakurmara2",2022-04-30 22:00:00,4,30,24.3955383,88.5699585
"225","43. Rajshahi, Thakurmara2",2022-04-30 23:00:00,4,30,24.3955383,88.5699585
"226","43. Rajshahi, Thakurmara2",2022-05-01 00:00:00,4,31.75,24.3955383,88.5699585
"227","43. Rajshahi, Thakurmara2",2022-05-01 01:00:00,4,35.25,24.3955383,88.5699585
"228","43. Rajshahi, Thakurmara2",2022-05-01 02:00:00,4,35,24.3955383,88.5699585
"229","43. Rajshahi, Thakurmara2",2022-05-01 03:00:00,4,36,24.3955383,88.5699585
"230","43. Rajshahi, Thakurmara2",2022-05-01 04:00:00,4,34.5,24.3955383,88.5699585
"231","43. Rajshahi, Thakurmara2",2022-05-01 05:00:00,4,33.25,24.3955383,88.5699585
"232","43. Rajshahi, Thakurmara2",2022-05-01 06:00:00,4,32.5,24.3955383,88.5699585
"233","43. Rajshahi, Thakurmara2",2022-05-01 07:00:00,4,34.25,24.3955383,88.5699585
"234","43. Rajshahi, Thakurmara2",2022-05-01 08:00:00,4,35,24.3955383,88.5699585
"235","43. Rajshahi, Thakurmara2",2022-05-01 09:00:00,4,36.75,24.3955383,88.5699585
"236","43. Rajshahi, Thakurmara2",2022-05-01 10:00:00,4,38.25,24.3955383,88.5699585
"237","43. Rajshahi, Thakurmara2",2022-05-01 11:00:00,4,44,24.3955383,88.5699585
"238","43. Rajshahi, Thakurmara2",2022-05-01 12:00:00,4,50,24.3955383,88.5699585
"239","43. Rajshahi, Thakurmara2",2022-05-01 13:00:00,4,45,24.3955383,88.5699585
"240","43. Rajshahi, Thakurmara2",2022-05-01 14:00:00,4,37.25,24.3955383,88.5699585
"241","43. Rajshahi, Thakurmara2",2022-05-01 15:00:00,4,31.75,24.3955383,88.5699585
"242","43. Rajshahi, Thakurmara2",2022-05-01 16:00:00,4,29.25,24.3955383,88.5699585
"243","43. Rajshahi, Thakurmara2",2022-05-01 17:00:00,4,28.25,24.3955383,88.5699585
"244","43. Rajshahi, Thakurmara2",2022-05-01 18:00:00,4,27,24.3955383,88.5699585
"245","43. Rajshahi, Thakurmara2",2022-05-01 19:00:00,4,26.5,24.3955383,88.5699585
"246","43. Rajshahi, Thakurmara2",2022-05-01 20:00:00,4,26.25,24.3955383,88.5699585
"247","43. Rajshahi, Thakurmara2",2022-05-01 21:00:00,4,27.25,24.3955383,88.5699585
